"month","poverty","What are the biggest challenges and concerns for you and your family right now?","What is helping you and your family the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how your family is doing or what you need during this time?","What are the biggest challenges and concerns for you as a child care provider right now?","What is helping you as a child care provider the most right now?","What would you like your elected officials or other policymakers (for example, U.S. Congress, state and local leaders) to know about how you are doing or what you need as a child care provider during this time?","You may know that President Biden's administration and Congress have been working on the American Families Plan. How do you think the programs and funds from the American Families Plan will impact providers?","When thinking about the parent(s) of the child/children that you care for right now, what role do they play in your life?","When thinking about the child/children that you care for right now, what role do they play in your life?","What do you want federal and/or state officials that oversee funding for child care providers to know?","Has the COVID-19 surge related to Omicron impacted you and your job as a child care provider? If so, please describe how.","What changes, if any, have you noticed in how parents are thinking about and using child care for their child(ren) under 6 years of age in the last four years (since March 2020)?","Are you concerned that events occurring in the US and in the world right now (e.g., extreme weather events, political tension, conflict, etc.) are affecting the child(ren) you care for? If so, how?","How, if at all, did Hurricane Helene impact you and your ability to provide child care, and what are your most pressing needs or challenges in the aftermath of the storm?","What changes, if any, have you noticed in your community or daily life since January, and how have these affected you and your work as a child care provider?"
"2021/02","Below 200%FPL","Rent","Unemployment",NA,"Food","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Below 200%FPL","Getting the vaccine as soon as possible.","Prayer and the generosity of others.","It's a struggle to get by on very little income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Below 200%FPL","Money",NA,NA,"Transportation access","Job",NA,NA,NA,NA,"Providers don't make enough money.",NA,NA,NA,NA,NA
"2021/07","Below 200%FPL","Money is the biggest challenge.",NA,NA,"Health of students and their families.","Friends",NA,NA,NA,NA,"More money for childcare providers.",NA,NA,NA,NA,NA
"2021/09","Below 200%FPL","Money, health, car",NA,NA,"Transportation for the students.","Administration, coworkers and friends.",NA,NA,NA,NA,"That it's a hard job and teachers need to make more money.",NA,NA,NA,NA,NA
"2021/10","Below 200%FPL","Money",NA,NA,"Negative behavior in children.","Director, coworkers",NA,NA,NA,NA,"We get paid too little.",NA,NA,NA,NA,NA
"2021/11","Below 200%FPL","Income",NA,NA,"Commute, self-care","Director",NA,"I'm not sure.",NA,NA,"Teachers are tired",NA,NA,NA,NA,NA
"2021/11","Below 200%FPL","Finances",NA,NA,"There's no vaccine for the kids","Friends",NA,NA,NA,NA,"We don't get paid enough.",NA,NA,NA,NA,NA
"2021/12","Below 200%FPL","Finances.",NA,NA,"Not enough help for my students with special needs.","Director, coworkers.",NA,NA,"We're a team.","I love them.","We work incredibly hard for very little pay.",NA,NA,NA,NA,NA
"2022/01","Below 200%FPL","Finances",NA,NA,"Mental health of myself.","Church, friends, family",NA,NA,NA,NA,"That every teacher deserves a huge raise.","We work virtually currently.",NA,NA,NA,NA
"2021/02","Between 200-400%FPL","The biggest challenge is buying groceries","My savings","I would like to qualify for the stimulus check","This pandemic has lowered my income","My family is","I would like for the vaccine to be more available",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/12","Between 200-400%FPL","The biggest challenges I face is money for food",NA,NA,"I wish the children are safe in my care","The director",NA,NA,"They are able to help me protect the kids","They are all very important to me","I want to support the kids more",NA,NA,NA,NA,NA
"2022/03","Between 200-400%FPL","My biggest challenge is buying food",NA,NA,"As a childcare provider, Keeping students healthy is my big concern.","My income is helping me.",NA,NA,NA,NA,"I would like to ask for more compensation for what we do",NA,NA,NA,NA,NA
"2023/05","Between 200-400%FPL","My biggest  challenge right now is the upscaling price of good.",NA,NA,"I need more help in the classroom","My love for what I do.",NA,NA,NA,NA,"We need to do more for educators",NA,NA,NA,NA,NA
"2023/06","Between 200-400%FPL","My biggest concern is not making enough money to survive in this society.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/04","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL","Being able to be sustainable",NA,NA,"The biggest challenge is not closing again","The government",NA,NA,NA,NA,"We need ask the resources we can get","Yes, I had to shutdown a few times",NA,NA,NA,NA
"2025/05","Between 200-400%FPL","Paying for rent and food",NA,NA,"Enrollment at school","The school",NA,NA,NA,NA,"To help us with counseling for kids",NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL","The biggest challenge is getting food in the table",NA,NA,"That I will lose my job","My savings",NA,NA,NA,NA,"That we need me money to care for these kids",NA,NA,NA,NA,NA
"2021/09","Above 400%FPL","Being with extended family and friends and travel",NA,NA,"Wearing mask","Seeing kids brings me joy",NA,NA,NA,NA,"Nothi",NA,NA,NA,NA,NA
"2021/02","Above 400%FPL","Na","Chocolate","Na","Social interaction for the children","Na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03",NA,"Nothing","Nothing","Nothing","Nothing","Noone","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Above 400%FPL","Keeping everyone healthy","Delivery services","Access to vaccinations","Not venturing out to stores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Between 200-400%FPL","Got in a car accident and am immobile currently","Other family members","No","Finding a babysitter while I work","Grandmother","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL","Affording medical bills due to the high cost even with insurance",NA,NA,"Staying healthy in order to work","Having flexibility in my schedule with work",NA,NA,NA,NA,"Increase in pay","It has closed the facility. Too many individuals out with COVID.",NA,NA,NA,NA
"2021/06","Between 200-400%FPL","Childcare while working. How to make everything get come to together",NA,NA,"Trying to provide adequate care with other life factors coming into play","The school by providing resources",NA,NA,NA,NA,"That children need to be in school and weren?t trained to teach them",NA,NA,NA,NA,NA
"2021/06","Between 200-400%FPL","The biggest concern for my family is that I used to have a secondary job. Unfortunately, I have been laid off from it. This helped to pay for medical services and extra curiculm activities such as speech class and swimming for my son. Having to cut back to the basics.",NA,NA,"Caring for a child of special needs and the lack of support from the government in helping to take care of them.","Being able to work remotely right now. It has allowed me to eliminate the additional cost of child care and allowed my family to pool together to watch each others kids.","Making a stipend so childcare is more affordable and not as expensive. Offering healthcare services free of charge so all kids can get the help they need. Just not families living below poverty level.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Between 200-400%FPL","Finding a new place to live","Wifes unemployment","Pass bills faster to help the peopme","Playing with othe children at the park","Parks being open","Mask mandates",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Above 400%FPL",NA,NA,NA,"Ppl needing me more","Covid cuz i always have kid's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","Above 400%FPL","Keeping up on all payments and getting back to a good place.",NA,NA,"Families staying. Keeping a job","My director",NA,NA,NA,NA,"We need more",NA,NA,NA,NA,NA
"2021/09","Above 400%FPL","Prices of things going up. Childcare just went up in price. I work long days and we have been short staffed but can?t work overtime. Working long days to barley make it by is stressful and sad to not be able to spend time with my family",NA,NA,"Stress, under staffed, and concerned about the future","My family and people at work",NA,NA,NA,NA,"We need more help. We need funding and grants to be able to retain and keep staff and families and children happy and teach them.",NA,NA,NA,NA,NA
"2021/10","Above 400%FPL","Being a parent and dealing with the cost of childcare.",NA,NA,"Staff shortage","My family",NA,NA,NA,NA,"It?s really hard right now and staff are leaving because of it",NA,NA,NA,NA,NA
"2021/08","Above 400%FPL","Paying bills. Stress of work",NA,NA,"Stress. Taking time off and not getting paid","My team",NA,NA,NA,NA,"We need help and staff need to be paid more",NA,NA,NA,NA,NA
"2021/06","Above 400%FPL",NA,NA,NA,"Amount of work vs  amount of pay","No one","To provide more grants and funds to pay teachers more",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Above 400%FPL","Paying bills, working and being overwhelmed with being low staffed and underpaid",NA,NA,"Losing my job because of the center closing working with horrible conditions low pay","Myself",NA,NA,NA,NA,"We need more funds to get more staff so the children are taken care of. And we don?t have to stress about what is going to happen with our jobs and families every single day.",NA,NA,NA,NA,NA
"2021/07","Above 400%FPL","Steady work and home lofe",NA,NA,"Keeping a steady income","My center and team",NA,NA,NA,NA,"We need it and the children and teacher stuffer without it",NA,NA,NA,NA,NA
"2021/11","Above 400%FPL","Debating and stressing over leaving childcare lack of income",NA,NA,"Stress low wages short staffed","No one",NA,"I do not know about this",NA,NA,"Childcare is changing because of the fact they cannot hire trained and qualified staff, staff hired most of the time leave after a couple days because of how bad it is.",NA,NA,NA,NA,NA
"2021/03","Above 400%FPL","Working and keeping jobs.","Working hard at our jobs","It?s been a struggle we have been lucky but we know it could change because of covid","The covid rules, keeping the school safe, room closures, staffing with covid","Owners and other support staff","We need more funding to run the center to deal with covid safely",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Above 400%FPL",NA,NA,NA,"Care, hours, keeping healthy","Director other staff",NA,NA,NA,NA,"We need more pay. We need to have benefits and healthcare",NA,NA,NA,NA,NA
"2021/10","Above 400%FPL","Paying bills and being a stable family. My Job right now is really stressful and I?m having a really hard time",NA,NA,"Under staffed. Company not following rules and licensing","No one",NA,NA,NA,NA,"Some centers who are not following rules and licensing need to be looked closer at. They are choosing not to fix anything. Over working staff and putting kids at risk",NA,NA,NA,NA,NA
"2021/12","Above 400%FPL","Bills, cost of living, stress of work",NA,NA,"Funds, pay vs stress, low staffing, long hours","My family",NA,NA,"They are support, they are helping me support my life","They help me realize how important my job is","We need help",NA,NA,NA,NA,NA
"2021/11","Above 400%FPL","Making sure we have our home stuff paid. Figuring out childcare and working long hours",NA,NA,"Lack of staff and lack of concern for childcare centers and staff. Low wages.","Me",NA,NA,NA,NA,"Childcare center need funds",NA,NA,NA,NA,NA
"2021/12","Above 400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Above 400%FPL",NA,NA,NA,"Worrying about Covid hitting my facility",NA,NA,NA,NA,NA,"We need help",NA,NA,NA,NA,NA
"2021/03","Above 400%FPL","Trying to avoid Covid exposure while working","Faith",NA,"Exposure & parents following procedures","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Between 200-400%FPL","Rent payments","Working",NA,"Getting sick","Kids bring there",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/12","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Between 200-400%FPL",NA,"Each other","Need assurance that GA Pre-K will be fully paid for next year, regardless of enrollment.","Knowing if I will keep my job","My coteacher","Keep classes open no matter the enrollment numbers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Below 200%FPL","Keeping them all entertained during this","Moving to a different location","That we need","Being able to care for all the children","Family","Idk",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02",NA,NA,NA,"Need third stimulus","Low attendance, lack of ppe","Employer","Stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07",NA,"Increasing cost of housing",NA,NA,"Children being delayed due to quarantine","My employer",NA,NA,NA,NA,"Childcare is nearly unaffordable for those who provide childcare to others",NA,NA,NA,NA,NA
"2021/07",NA,NA,NA,NA,"Children?s delays due to quarantine","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most",NA,NA,NA,NA,NA
"2021/11",NA,"Paying bills",NA,NA,"Under staffed, out of ratio, delayed kids due to quarantines","My employer",NA,"Unsure",NA,NA,"Childcare is over priced and under paid",NA,NA,NA,NA,NA
"2022/05",NA,NA,NA,NA,"Delays in children","My family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09",NA,"Money",NA,NA,"Quarantine kids being behind","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most",NA,NA,NA,NA,NA
"2021/09",NA,"Money vs the cost of living",NA,NA,"Delays in children due to quarantine","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most average families",NA,NA,NA,NA,NA
"2021/06",NA,NA,NA,NA,"Children who were quarantined for 12 plus months returning to school setting with delays or social emotional challenges.","My employer","Assistance paying for childcare ourselves. Most can not afford the same care for our own children that we provide to others.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06",NA,NA,NA,NA,"Children returning or starting childcare after long quarantines","My employer",NA,NA,NA,NA,"Childcare needs to be more affordable for mid to low incomes.",NA,NA,NA,NA,NA
"2021/08",NA,"Money",NA,NA,"Children being delayed during to long quarantines","My employer",NA,NA,NA,NA,"Childcare is ridiculously expensive and unaffordable for normal people",NA,NA,NA,NA,NA
"2021/10",NA,"Higher bills",NA,NA,"Developmental delays due to covid","My employer",NA,NA,NA,NA,"Childcare is unaffordable for most middle class families",NA,NA,NA,NA,NA
"2022/03",NA,NA,NA,NA,"Unstable staffing, constantly over ratio","My husband",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/08",NA,"Bills too high",NA,NA,"Children being delayed due to quarantines","My employer",NA,NA,NA,NA,"Childcare cost is too high for most",NA,NA,NA,NA,NA
"2021/08","Between 200-400%FPL",NA,NA,NA,"New toys","Caffine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Between 200-400%FPL","Moving",NA,NA,"Changing menu","Caffeine",NA,NA,NA,NA,"Some of menu suggestions make no sense",NA,NA,NA,NA,NA
"2022/01","Between 200-400%FPL","Twins have been sick so much! CROUP, RSV, hand foot and mouth and now COVID.  it just getting annoying to always have sick kids.",NA,NA,"Covid","Having an understanding staff who lets me stay home with sock kids.",NA,NA,NA,NA,"Help provide masks!","Yes.  We were closed this week for 4 teachers being positive.  Parents want a refund, but I want to still pay staff.",NA,NA,NA,NA
"2022/02","Between 200-400%FPL","Moving",NA,NA,"Staffing","Husband",NA,NA,NA,NA,NA,"We had to close for a week",NA,NA,NA,NA
"2021/03","Between 200-400%FPL","Caring for twins infants while going to school.","Being able to take twins to work with me.",NA,"Burn out from doing distance learning","Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/08","Between 200-400%FPL",NA,NA,NA,"Enrollment staffing","Grants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Medical bills.  Tuition.",NA,NA,"Challenging behaviors","Soda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/03","Between 200-400%FPL","Moving with 20 month twins",NA,NA,"Staffing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07","Between 200-400%FPL","potty training, gas prices.",NA,NA,"Cost of food for care. Staffing issues","Grants. Staff showing up",NA,NA,NA,NA,"Let us help write the ""rules'",NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL","Moving.",NA,NA,"Short staff.  No one is applying.","Husband.  Mentor",NA,NA,NA,NA,"Funds to help pay employees",NA,NA,NA,NA,NA
"2021/12","Between 200-400%FPL","Moving",NA,NA,"Staffing","Co director keeping me in check",NA,NA,"Need to keep them happy so they will stay.","Second home",NA,NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Rent and groceries.  Paying names bills",NA,NA,"Planning time","Soda and director.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL",NA,NA,NA,"Enrollment and staffing","Co director",NA,NA,NA,NA,"Possibly change education requirements for directors",NA,NA,NA,NA,NA
"2021/10","Between 200-400%FPL","Getting new tires.",NA,NA,"Getting used to new role as director","Husband.  Co director",NA,NA,NA,NA,"Easy to get bonus funding",NA,NA,NA,NA,NA
"2021/09","Between 200-400%FPL","Babes are sick.  I am tried being up all night with twins.",NA,NA,"Keeping kids calm","Director.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/01","Between 200-400%FPL","Finances.  Buying a home.",NA,NA,"Potty training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/11","Between 200-400%FPL","Adapting to new job and home",NA,NA,"Staffing and enrollment","Assistant husband",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/03","Above 400%FPL","Paying for food and being mentally stable","Emotional support from loved ones/","We need monthly stimulus checks simply for those with reduced hours at work that are government funded.","Keeping the child far enough apart.","Knowing that we can still hug the kids and that us caring for them is emotionally beneficial for them.","We need hazard pay for those in childcare. Without this part of the workforce the parents couldn't work at all.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/02","Above 400%FPL","Continuity of work","cutting back on extra expenses","Just because I?m still employed doesn?t mean I?m not making the same amount of money as before","Fear of getting sick and not being  able to take care of the kids and lose job","Picking up hobbies like crocheting to manage stress","We need priority for vaccines and hazard pay",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/06","Above 400%FPL","Keeping everyone safe from COVID-19 and making sure this period doesn't cause undue trauma to the children",NA,NA,"To make sure the COVID-19 pandemic does not cause undue trauma to the children I care for.","Taking small moments for myself. Engaging in self-care practices, like crocheting","Support for those caregivers who did not take time off during the pandemic.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021/07","Above 400%FPL","Keeping everyone safe and healthy is the biggest thing for me",NA,NA,"Finances. Being able to work for multiple families without endangering them with covid.","Allowing myself grace and realizing that everyone is struggling because it?s a tough time",NA,NA,NA,NA,"Support those essential workers",NA,NA,NA,NA,NA
"2021/08","Above 400%FPL","Protecting the kids from the long term effects of living during a pandemic",NA,NA,"Keeping the kids safe and healthy","Family members, personal strength, religion, and hope that things will get better",NA,NA,NA,NA,"We need financial support. The employment force depends on us",NA,NA,NA,NA,NA
"2021/06","Above 400%FPL","Right now the biggest concerns are centered around staying safe as pandemic limitations are lifted.",NA,NA,"The biggest challenge is preventing the pandemic from affecting the kids from doing normal kid things. Just trying to keep their childhoods as happy as possible.","The power of hope and knowing things have to get better.z",NA,NA,NA,NA,"Childcare providers are in the trenches daily with families and children. We need resources and guidance on how to get thru the pandemic without causing trauma to our kids.",NA,NA,NA,NA,NA
"2021/07","Above 400%FPL","The opening up of the local places and trying to keep everyone safe.",NA,NA,NA,"Making sure I take part in self care practices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
